word	frequency
name	684
of	178
in	172
has	119
with	102
relationship	68
to	49
is	42
by	39
results	29
activity	23
regulates	23
or	22
directly	18
homology	17
part	17
upstream	16
from	16
sequence	15
for	14
disease	14
related	14
causally	13
basis	13
obsolete	12
condition	12
causal	12
quantity	11
input	11
process	11
during	11
ends	10
entity	10
existence	10
mutation	10
starts	10
positively	9
developmentally	9
output	9
capable	9
interacts	9
negatively	9
material	8
location	8
effect	8
germline	8
synaptic	8
interaction	8
indirectly	8
small	7
anatomical	7
function	7
component	7
contributes	7
role	7
acts	7
structure	7
within	7
exposure	7
1	6
downstream	6
many	6
positive	6
orthology	6
endoparasite	6
on	6
molecule	6
involved	6
develops	6
negative	6
developmental	6
immediately	6
regulated	6
relation	6
start	5
parasite	5
potential	5
ligase	5
into	5
end	5
paralogy	5
between	5
transport	5
quality	5
substance	5
continuant	5
via	5
participant	5
before	4
evidence	4
active	4
projection	4
eggs	4
causes	4
regulation	4
dendrite	4
participates	4
membrane	4
that	4
a	4
trigger	4
sequentially	4
overlaps	4
neuron	4
nucleus	4
terminal	4
nutrients	4
primary	4
preceded	4
cell	4
and	3
regulating	3
organism	3
realized	3
differs	3
occurs	3
phenotype	3
structural	3
helper	3
synapsed	3
muscle	3
realizable	3
system	3
receives	3
disposition	3
branching	3
circuit	3
throughout	3
property	3
sends	3
connected	3
dependent	3
child	3
response	3
parasitism	3
behavior	3
biological	3
neural	3
regulatory	3
provides	3
expression	3
syntenic	3
acquisition	3
target	3
agent	3
mutualism	3
stimulus	3
expresses	3
derived	3
as	3
protein	2
intercellular	2
correlated	2
attached	2
ubiquitously	2
allergic	2
distributary	2
contains	2
spatially	2
member	2
immaterial	2
morphology	2
stem	2
added	2
laid	2
precedes	2
susceptibility	2
ingredient	2
kinase	2
vector	2
lays	2
feature	2
depends	2
other	2
activator	2
determined	2
transcribed	2
symbiont	2
visits	2
functional	2
transformation	2
subsequence	2
develop	2
parasitoid	2
partially	2
adjacent	2
factor	2
dysfunction	2
synapse	2
io	2
loss	2
mesoparasite	2
generically	2
axon	2
genetic	2
at	2
attribute	2
simultaneous	2
proper	2
physical	2
product	2
inhibits	2
somatic	2
bearer	2
connecting	2
expressed	2
epiphyte	2
boundary	2
ecologically	2
derives	2
partial	2
presynaptic	2
not	2
inheres	2
gene	2
skeleton	2
habitat	2
taxon	2
