(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
(+)-epi-alpha-bisabolol biosynthetic process	GO:1901943	(+)-epi-alpha-bisabolol catabolic process	GO:1901942
(+)-kotanin biosynthetic process	GO:1900596	(+)-kotanin catabolic process	GO:1900595
(+)-lariciresinol biosynthetic process	GO:1902132	(+)-lariciresinol catabolic process	GO:1902131
(+)-pinoresinol biosynthetic process	GO:1902126	(+)-pinoresinol catabolic process	GO:1902125
(+)-secoisolariciresinol biosynthetic process	GO:1902135	(+)-secoisolariciresinol catabolic process	GO:1902134
(-)-exo-alpha-bergamotene biosynthetic process	GO:1901940	(-)-exo-alpha-bergamotene catabolic process	GO:1901939
(-)-lariciresinol biosynthetic process	GO:1902129	(-)-lariciresinol catabolic process	GO:1902128
(-)-microperfuranone biosynthetic process	GO:1901512	(-)-microperfuranone catabolic process	GO:1901511
(-)-pinoresinol biosynthetic process	GO:1901599	(-)-pinoresinol catabolic process	GO:1902123
(-)-secoisolariciresinol biosynthetic process	GO:1902138	(-)-secoisolariciresinol catabolic process	GO:1902137
(-)-secologanin biosynthetic process	GO:1900994	(-)-secologanin catabolic process	GO:1900993
(1->3)-beta-d-glucan biosynthetic process	GO:0006075	(1->3)-beta-d-glucan catabolic process	GO:0006076
(1->6)-beta-d-glucan biosynthetic process	GO:0006078	(1->6)-beta-d-glucan catabolic process	GO:0006079
(17z)-protosta-17(20),24-dien-3beta-ol biosynthetic process	GO:1900581	(17z)-protosta-17(20),24-dien-3beta-ol catabolic process	GO:1900580
(r)-mevalonic acid biosynthetic process	GO:1901737	(r)-mevalonic acid catabolic process	GO:1901736
(s)-reticuline biosynthetic process	GO:1901012	(s)-reticuline catabolic process	GO:1901011
(s)-scoulerine biosynthetic process	GO:1901009	(s)-scoulerine catabolic process	GO:1901008
1,3-dichloro-2-propanol biosynthetic process	GO:0046309	1,3-dichloro-2-propanol catabolic process	GO:0046310
1,5-anhydro-d-fructose biosynthetic process	GO:1901803	1,5-anhydro-d-fructose catabolic process	GO:1901802
1-aminocyclopropane-1-carboxylate biosynthetic process	GO:0042218	1-aminocyclopropane-1-carboxylate catabolic process	GO:0042217
1-deoxy-d-xylulose 5-phosphate biosynthetic process	GO:0052865	1-deoxy-d-xylulose 5-phosphate catabolic process	GO:0052864
1-phosphatidyl-1d-myo-inositol 3,5-bisphosphate biosynthetic process	GO:1903102	1-phosphatidyl-1d-myo-inositol 3,5-bisphosphate catabolic process	GO:1903101
1-phosphatidyl-1d-myo-inositol 4,5-bisphosphate biosynthetic process	GO:1902635	1-phosphatidyl-1d-myo-inositol 4,5-bisphosphate catabolic process	GO:1902634
10-formyltetrahydrofolate biosynthetic process	GO:0009257	10-formyltetrahydrofolate catabolic process	GO:0009258
11-oxo-beta-amyrin biosynthetic process	GO:1902383	11-oxo-beta-amyrin catabolic process	GO:1902382
2-dehydro-3-deoxy-d-gluconic acid biosynthetic process	GO:1901274	2-dehydro-3-deoxy-d-gluconic acid catabolic process	GO:1901273
2-deoxyribose 1-phosphate biosynthetic process	GO:0006016	2-deoxyribose 1-phosphate catabolic process	GO:0006018
2-deoxystreptamine biosynthetic process	GO:1901744	2-deoxystreptamine catabolic process	GO:1901743
2-hydroxybenzoyl-coa biosynthetic process	GO:1901887	2-hydroxybenzoyl-coa catabolic process	GO:1901886
2-methylbut-2-enoyl-coa(4-) biosynthetic process	GO:1902194	2-methylbut-2-enoyl-coa(4-) catabolic process	GO:1902193
2-methylbutanoyl-coa(4-) biosynthetic process	GO:1902191	2-methylbutanoyl-coa(4-) catabolic process	GO:1902190
2-oxobutyrate biosynthetic process	GO:0046360	2-oxobutyrate catabolic process	GO:0019606
3,4-dihydroxybenzoate biosynthetic process	GO:0046279	3,4-dihydroxybenzoate catabolic process	GO:0019619
3-(2,3-dihydroxyphenyl)propanoate biosynthetic process	GO:1901792	3-(2,3-dihydroxyphenyl)propanoate catabolic process	GO:1901791
3-(3-hydroxyphenyl)propanoate biosynthetic process	GO:1901795	3-(3-hydroxyphenyl)propanoate catabolic process	GO:1901794
3-chlorocatechol biosynthetic process	GO:1901169	3-chlorocatechol catabolic process	GO:1901168
3-cyano-l-alanine biosynthetic process	GO:1903560	3-cyano-l-alanine catabolic process	GO:1903559
3-methylbut-2-enoyl-coa(4-) biosynthetic process	GO:1902200	3-methylbut-2-enoyl-coa(4-) catabolic process	GO:1902199
3alpha(s)-strictosidine biosynthetic process	GO:1901015	3alpha(s)-strictosidine catabolic process	GO:1901014
