goldResponse,word01,word02,goldVerify
Y,alive,dead,Y
Y,good,bad,Y
Y,apolitical,political,Y
Y,asexual,sexual,Y
N,apple,pple,N
N,aorta,orta,N
N,bubble,bubble,N
Y,dress,undress,Y
Y,irregular,regular,Y
Y,irreversible,reversible,Y
Y,intolerant,tolerant,Y
Y,illegible,legible,Y
Y,illegal,legal,Y
N,ill,l,N
N,rk,irk,N
Y,reducible,irreducible,Y
N,read,ad,N
Y,under,over,Y
N,under,der,N
Y,dead,alive,
Y,underexposed,overexposed,Y
N,ironic,onic,N
Y,complex,simple,Y
Y,stabilize,destabilize,Y
Y,destabilize,stabilize,Y
N,dead,ad,N
N,ad,dead,N
Y,dephosphorylation,phosphorylation,Y
Y,phosphorylation,dephosphorylation,Y
N,definite,unfinite,N
N,definite,finish,N
Y,unsophisticated,sophisticated,Y
N,underestimate,derestimate,N
Y,unemployability,employability,Y
Y,underused,overused,Y
N,underused,derused,N
Y,ectomorph,endomorph,Y
Y,extant species,extinct species,Y
Y,dehumanize,humanize,Y
N,bad,good,N
Y,vertebrate,invertebrate,Y
Y,active,inactive,Y
N,ctive,active,N
Y,antidepressant,depressant,Y
Y,antitraditionalist,traditionalist,Y
Y,antimonarchist,monarchist,Y
N,antibacterial,antihistamine,N
N,anticipate,cipate,N
Y,antismoking,prosmoking,Y
Y,antiscience,proscience,Y
N,antiscience,tiscience,N
N,proscience,roscience,N
N,anticipate,antiscience,N
N,antipasto,antihistamine,N
Y,antipolice,propolice,Y
N,pear,wolf,N
N,union,ion,N
Y,vertebrate,invertebrate,Y
Y,criminalization,decrimialization,Y
Y,alive,dead,Y
Y,deregulate,regulate,Y
Y,activate,deactive,Y
N,detergent,tergent,N
Y,complain,deny,Y
Y,deny,state,Y
Y,claim,deny,Y
Y,deny,report,Y
Y,ablated,implanted,Y
Y,ablated,transplanted,Y
Y,abnormal,normal,Y
Y,acquired,innate,Y
Y,acute,chronic,Y
Y,aerobic,anaerobic,Y
N,actor,ctor,N
N,eraser,eraser,N
N,aorta,intense,N
N,depression,valley,N
N,carinatum,irregular,N
Y,afebrile,febrile,Y
Y,affected,unaffected,Y
Y,alive,dead,Y
Y,anterior,posterior,Y
Y,attractive,repellent,Y
Y,benign,cancerous,Y
Y,benign,malignant,Y
Y,benign,tumorous,Y
Y,big,little,Y
Y,untie,tie,Y
Y,tie,untie,Y
Y,unmake,make,Y
Y,make,unmake,Y
Y,incapable,capable,Y
Y,inner,outer,Y
N,insert,ert,N
Y,tolerant,intolerant,Y
N,inner,ner,N
Y,big,small,Y
N,fast,sitting,N
N,supine,tolerant,N
N,amnesia,standing,N
N,bubble,ubble,N
N,bear,bear,N
Y,carinatum,excavatum,Y
Y,caudal,cranial,Y
Y,central,peripheral,Y
Y,incompetent,competent,Y
Y,competent,incompetent,Y
Y,competent,senile,Y
Y,constant,variable,Y
Y,contagious,noncontagious,Y
Y,contaminated,sterile,Y
Y,damaged,intact,Y
Y,damaged,whole,Y
N,dehydrate,hydra,N
N,deteriorating,deleterious,N
N,diseased,disused,N
N,diseased,apathy,N
N,dominant,reclusive,N
Y,dehydrate,hydrate,Y
Y,good,bad,
Y,dead,alive,
